batter,batter_name,spearman_rho,p_value,parks
676116,Ryan Noda,0.6895053475935828,9.074101052816058e-06,33
592626,Joc Pederson,0.688168449197861,9.597229552457229e-06,33
665742,Juan Soto,0.6878342245989305,9.732212892846817e-06,33
665561,Rafael Marchán,0.6871657754010695,1.0007355601591055e-05,33
802415,Chandler Simpson,0.6848262032085561,1.1026792832956263e-05,33
680757,Steven Kwan,0.6844919786096256,1.1179866002526542e-05,33
592885,Christian Yelich,0.6841577540106952,1.1334861987046183e-05,33
608070,José Ramírez,0.6841577540106952,1.1334861987046183e-05,33
518692,Freddie Freeman,0.6838235294117648,1.1491802299234217e-05,33
656976,Pavin Smith,0.6824866310160428,1.213944444580829e-05,33
622682,Víctor Reyes,0.6821524064171123,1.230643647795434e-05,33
650333,Luis Arráez,0.6814839572192515,1.2646677145322401e-05,33
657757,Gavin Sheets,0.6814839572192515,1.2646677145322401e-05,33
640457,Austin Meadows,0.681149732620321,1.2819972032466933e-05,33
656941,Kyle Schwarber,0.6801470588235294,1.3352837111304473e-05,33
682928,Cj Abrams,0.6798128342245989,1.353486532007319e-05,33
666160,Mickey Moniak,0.6798128342245989,1.353486532007319e-05,33
660162,Yoán Moncada,0.6788101604278076,1.4094510714594968e-05,33
500871,Eduardo Escobar,0.6788101604278076,1.4094510714594968e-05,33
666139,Josh Lowe,0.6788101604278076,1.4094510714594968e-05,33
592325,Ben Gamel,0.6784759358288771,1.4285662233654832e-05,33
680977,Brendan Donovan,0.6778074866310161,1.4675021378181678e-05,33
595281,Kevin Kiermaier,0.6774732620320856,1.4873280352026643e-05,33
623168,Tyler Heineman,0.6761363636363638,1.5690789385010517e-05,33
666135,Alex Kirilloff,0.6754679144385027,1.6114601874292788e-05,33
669224,Austin Wells,0.6751336898395722,1.633036789847638e-05,33
669911,Michael Toglia,0.6751336898395722,1.633036789847638e-05,33
596019,Francisco Lindor,0.6747994652406417,1.6548744089980354e-05,33
666211,Taylor Trammell,0.6744652406417112,1.6769758508417274e-05,33
680718,Addison Barger,0.6737967914438503,1.7219815574230596e-05,33
641645,Luis Guillorme,0.6724598930481284,1.8152852332626615e-05,33
605612,Harold Castro,0.6724598930481284,1.8152852332626615e-05,33
666165,Blake Sabol,0.6721256684491979,1.839314223458641e-05,33
543939,Kolten Wong,0.671457219251337,1.888236939872073e-05,33
694497,Evan Carter,0.6711229946524064,1.9131367916021674e-05,33
